CODMUN,SALARIO_MEAN_2019,SALARIO_MEAN_2018,SALARIO_MEAN_2017,SALARIO_MEAN_2016,SALARIO_MEAN_2015,SALARIO_MEAN_2014,SALARIO_MEAN_2013,SALARIO_MEAN_2012,SALARIO_MEAN_2011,SALARIO_MEAN_2010,SALARIO_MEAN_2020,SALARIO_MEAN_2021,GASTO_MEAN_2015,GASTO_MEAN_2016,GASTO_MEAN_2017,GASTO_MEAN_2018,GASTO_MEAN_2019,GASTO_MEAN_2020,GASTO_MEAN_2014,GASTO_MEAN_2013,GASTO_MEAN_2012,GASTO_MEAN_2011,GASTO_MEAN_2010
39027,0.3882965219598883,0.4447453439756745,0.3570241064006651,0.3570241064006651,0.4729434894147548,0.47294348941475484,0.4729434894147546,0.4729434894147544,0.4729434894147545,0.4729434894147546,0.38829652195988834,0.3882965219598883,0.026371521348319583,0.1335111621916744,0.04986613293400516,0.0,0.10470938445393826,0.13003012961088148,0.1834189208972744,0.37110321133604485,0.2814620948221056,0.2244072766387182,0.10350604949685743
39017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013185760674159792,0.0667555810958372,0.05190407807714591,0.07269336834292738,0.11003575799043473,0.11706163145430219,0.006283640583483134,0.0,0.3189110864357254,0.24695827800016446,0.12946624994333233
39032,0.9035922823051535,0.9771237172177879,0.7639424166855588,0.7639424166855588,1.0,1.0,1.0,1.0,1.0,1.0,0.9035922823051539,0.9035922823051541,0.013185760674159792,0.0667555810958372,0.10584610129743234,0.1439130881033811,0.204323730445606,0.3376350838076295,0.36009700641697806,0.03339579070341096,0.4526286555802273,0.44330995653304633,0.49133577367279696
39051,0.1447067783701447,0.03420752565564424,0.1414645205168896,0.00022670596236681024,0.1516219520966698,0.15162195209667,0.15162195209666987,0.15162195209666954,0.15162195209666934,0.15162195209666976,0.14470677837014498,0.1447067783701448,0.013185760674159792,0.0667555810958372,0.05190407807714591,0.07269336834292738,0.11003575799043473,0.11706163145430219,0.0,0.32092012491042904,0.0,0.16216011731037755,0.3069161454430225
39059,0.4999316499697308,0.5891369178142271,0.4644158833685017,0.4644158833685017,0.5885171435052754,0.5885171435052757,0.5885171435052754,0.5885171435052755,0.5885171435052757,0.5885171435052761,0.4999316499697308,0.4999316499697309,0.0,0.0,0.0,0.07416701692540102,0.021074159071759933,0.0005813123986973597,0.09062245379682211,0.09775023373156413,0.22838631248516672,0.047130970010107895,0.1520187397176007
39065,0.21198273673521198,0.5347776510832383,0.22194513715710723,0.22194513715710723,0.40135222613824356,0.40135222613824406,0.40135222613824373,0.4013522261382439,0.40135222613824395,0.40135222613824395,0.21198273673521223,0.21198273673521237,0.013185760674159792,0.0667555810958372,0.05190407807714591,0.07269336834292738,0.11003575799043473,0.11706163145430219,0.18918618858295108,0.1718482828121984,0.2950697180808084,0.20137671901565724,0.1905873701330809
39070,0.12972835745112973,0.07896237172177879,0.03196554069372024,0.03196554069372024,0.12400201395382292,0.1240020139538234,0.12400201395382306,0.12400201395382295,0.12400201395382283,0.12400201395382321,0.12972835745113004,0.1297283574511299,0.013185760674159792,0.0667555810958372,0.05190407807714591,0.07269336834292738,0.11003575799043473,0.11706163145430219,0.18137777467454422,0.06904379479217053,0.18171991349992228,0.0,0.22839244780523843
39077,0.7281035795887281,0.6456670467502851,0.4350487417819089,0.4350487417819089,0.9241170970294181,0.9241170970294181,0.9241170970294184,0.924117097029418,0.9241170970294178,0.9241170970294182,0.7281035795887284,0.7281035795887288,0.013185760674159792,0.0667555810958372,0.05190407807714591,0.07269336834292738,0.11003575799043473,0.11706163145430219,0.11959438073786699,0.23307577625720446,0.35643561387263434,0.3189189440784536,0.0
39092,0.5648641787255648,0.5895096921322691,0.3922013148945817,0.3922013148945817,0.5900884701143638,0.5900884701143639,0.5900884701143638,0.5900884701143635,0.5900884701143636,0.5900884701143638,0.564864178725565,0.5648641787255652,0.013185760674159792,0.0667555810958372,0.05190407807714591,0.07269336834292738,0.11003575799043473,0.11706163145430219,0.26787824453751324,0.11540124780139482,0.2891493803185385,0.31389467359811196,0.14086903168843723
39093,1.0,1.0,1.0,1.0,0.9471337121484572,0.9471337121484573,0.9471337121484575,0.9471337121484575,0.9471337121484574,0.9471337121484578,1.0,1.0,0.013185760674159792,0.0667555810958372,0.05190407807714591,0.07269336834292738,0.11003575799043473,0.11706163145430219,0.048204476847280284,0.24590495408493573,0.18157456000698666,0.2318573126252239,0.03608454734314221
39094,0.41304899720741306,0.30387685290763966,0.25255044207662664,0.25255044207662664,0.4160253182766309,0.4160253182766312,0.41602531827663103,0.4160253182766312,0.4160253182766314,0.41602531827663136,0.41304899720741317,0.41304899720741345,0.013185760674159792,0.0667555810958372,0.05190407807714591,0.07269336834292738,0.11003575799043473,0.0,0.08415719142920898,0.23547397130339037,0.06282683365150644,0.14798789395653547,0.13972127144094396
