CODMUN,LONGITUD_E,LATITUD_ET,CODAUTO,CPRO,CMUN,NOMBRE,COMARCA,NOMBRE_COMARCA,MINMDT,MAXMDT,MEANMDT,STDMDT,MINPENDI,MAXPENDI,MEANPENDI,STDPENDI,MINDISN10M,MAXDISN10M,MEANDISN10M,STDDISN10M,MINCARRETN,MAXCARRETN,MEANCARRETN,STDCARRETN,MINDISAUT,MAXDISAUT,MEANDISAUT,STDDISAUT,MINDISFERR,MAXDISFERR,MEANDISFERR,STDDISFERR,DISTHOSPIT,DISTFARMA,DISTCEDUC,DISTCURGH,DISTATPRIM
39020,-3.2297437598,43.36654405066667,06,39,020,Torrelavega,9,Marina Oriental,0.013043478260869565,0.30496108949416345,0.16672594407138192,0.4977133473624723,0.0,1.0,0.7757031655327743,0.819812692561953,0.002013919695349035,0.2900713984562103,0.2065259583959098,0.46295492469859284,0.004300263314784638,0.29874800070436097,0.16335813882100877,0.3042706967912726,0.0016392327460175078,0.21775613504166927,0.10696091181991459,0.1809253229667624,0.6049438323950825,0.5694306150704629,0.6425199891800022,0.4999813965247748,0.23310697216974707,0.21102327733554108,0.28611934238381426,0.37172070200363794,0.5566136546075174
39025,-4.078181267666667,43.27209689666666,06,39,025,Santander,5,Iguna-Besaya,0.075,0.3321984435797665,0.22004359692285808,0.48122965222569447,0.0,0.9430665699281504,0.7193400444588883,0.7968880267184989,0.3351985999161856,0.3605813822605817,0.3905030158126025,0.33294443698616477,0.001959304146058155,0.20066111729088248,0.12484268877641627,0.2373339540366021,0.0,0.1656893879688235,0.11571331562798044,0.17512611495165362,0.00528694188215444,0.1947555094846693,0.16399280804741406,0.21450150032482965,0.18038094449999972,0.20557300736291623,0.1774106939884514,0.2187167375929703,0.36073109088820904
39075,-3.8340167704000003,43.468023082,06,39,075,Castro-Urdiales,7,Metropolitana de Santander,0.010869565217391304,0.0,0.0,0.02873982291512639,0.0,0.36485329907585445,0.09257855743717223,0.16498826061373753,0.0017021354518326913,0.07282849698214483,0.0340838979544037,0.09522329723744415,0.0,0.3019071218554774,0.1664351257695843,0.3185740556623078,0.0021046233082373605,0.17707428326276958,0.0555409719134802,0.15394163609776265,0.0,0.10953622692092428,0.05217835800622915,0.09207424839919945,0.0,0.02757539876991359,0.0,0.07040077736599827,0.017742976600226272
39087,-4.0490851888999995,43.345331814000005,06,39,087,Los Corrales de Buelna,6,Periurbana de Torrelavega,0.0,0.23005836575875485,0.07289421892704398,0.33212722425950897,0.0,0.6904045858783372,0.3248175189176513,0.6369536627331382,0.0,0.1022012895215881,0.059478466718044416,0.18295390282938812,0.001231390116873996,0.06980186414812535,0.0012353105322198289,0.04903018338558095,0.0028036968506886216,0.0935323036030296,0.036327722726421444,0.07544221329529285,0.003909333454892556,0.04617747102863323,0.020107533944622343,0.028253244674535122,0.04875564951229219,0.06452012683684381,0.04684769711560625,0.15827279060605356,0.13976244228491877
