CODMUN,SALARIO_MEAN_2019,SALARIO_MEAN_2018,SALARIO_MEAN_2017,SALARIO_MEAN_2016,SALARIO_MEAN_2015,SALARIO_MEAN_2014,SALARIO_MEAN_2013,SALARIO_MEAN_2012,SALARIO_MEAN_2011,SALARIO_MEAN_2010,SALARIO_MEAN_2020,SALARIO_MEAN_2021,GASTO_MEAN_2015,GASTO_MEAN_2016,GASTO_MEAN_2017,GASTO_MEAN_2018,GASTO_MEAN_2019,GASTO_MEAN_2020,GASTO_MEAN_2014,GASTO_MEAN_2013,GASTO_MEAN_2012,GASTO_MEAN_2011,GASTO_MEAN_2010
39027,0.7567444050751101,0.7201931946704397,0.6874075622607562,0.6874075622607562,0.6397353448442252,0.5839064826423643,0.5854896891824171,0.6309027188839308,0.6398186715042281,0.6888147475858613,0.8008534909786673,0.8089767112187332,0.049556305689969306,0.06300321865492804,0.04837755425827185,0.056891129953923265,0.1014459704608852,0.09243772997065161,0.059884595780090706,0.10457023178227362,0.06478873458374385,0.03281737195913607,0.052176192636057814
39017,0.6415553742084688,0.6026946093002067,0.5688044073453269,0.5688044073453269,0.5159356922957145,0.4680109436070517,0.46937000364449144,0.5083535678763141,0.5160072217713693,0.5580665534563448,0.6805397043758044,0.687719139029089,0.046681970094680156,0.0466612207805878,0.048868836667351194,0.07374118406901015,0.10280169511615564,0.08882561804546656,0.049215885661675104,0.08578028279637967,0.04635348430611586,0.09645720836059996,0.04559947957660684
39032,0.9096080437815927,0.8608438087465158,0.8225855363174515,0.8225855363174515,0.7776998466172107,0.7130625018359805,0.7148955011655975,0.7674736398309265,0.7777963202661381,0.834522825835337,0.9605180273350985,0.969893714914013,0.046681970094680156,0.0466612207805878,0.06187250715743855,0.09024965188912497,0.1268008622937952,0.15026187596870869,0.06827327516366838,0.04844663476067929,0.0874665375734312,0.0828932085602815,0.09606286594026864
39051,0.6844829633513164,0.6117319964881746,0.6157988207227602,0.5688797189052266,0.5556248843628737,0.5051661392300527,0.5065970588681477,0.547641859013502,0.5557001959227734,0.5999833931438163,0.7253771403768714,0.7329082963668446,0.046681970094680156,0.0466612207805878,0.048868836667351194,0.07374118406901015,0.10280169511615564,0.08882561804546656,0.09851758259138889,0.06976761065769457,0.08857207966609768,0.09036454186569919,0.06339329678585734
39059,0.7898612152417888,0.7583404308252929,0.7230830343983872,0.7230830343983872,0.6699883846690755,0.6122279866674576,0.6138659681033244,0.6608501724479241,0.6700745942183319,0.7207658091809458,0.8354436668086402,0.8438382251082447,0.04380763449939101,0.030319222906247518,0.036356448586343175,0.07408277036398224,0.08015825259378652,0.05638238950580258,0.06123946930943379,0.03544734669948596,0.08538787131299154,0.0612226069544198,0.04136081215462191
39065,0.7044405267247457,0.7439790956721054,0.6425344244871654,0.6425344244871654,0.6209953183558418,0.5663629320208778,0.5679122086482872,0.6123519855923998,0.6210768592309688,0.669022893805534,0.7462226150089464,0.7539172905677312,0.046681970094680156,0.0466612207805878,0.048868836667351194,0.07374118406901015,0.10280169511615564,0.08882561804546656,0.0,0.05701515664466988,0.09061498717198342,0.04142922809363089,0.0535856558151561
39070,0.6800395813172322,0.6235559113924326,0.5794233372911892,0.5794233372911892,0.5483949746124993,0.4983978303499615,0.49981565981412296,0.5404849786545456,0.5484695972158763,0.5923476880015066,0.7207360724399189,0.72823082218627,0.046681970094680156,0.0466612207805878,0.048868836667351194,0.07374118406901015,0.10280169511615564,0.08882561804546656,0.0612162589928444,0.08142820170146432,0.03881917015733047,0.059412232580477564,0.0970624450462286
39077,0.8575489280009024,0.7732752924731014,0.7133272907929141,0.7133272907929141,0.7578364226936563,0.6944672782201048,0.6962643136603996,0.7478108565530646,0.7579310035063034,0.8135445213427932,0.9061428034127519,0.9150919517390594,0.046681970094680156,0.0466612207805878,0.048868836667351194,0.07374118406901015,0.10280169511615564,0.08882561804546656,0.04464939088020357,0.0459851083810406,0.04941346025504615,0.023244431162854916,0.11267484820289696
39092,0.8091235949853742,0.7584389151728541,0.6990934059718646,0.6990934059718646,0.6703997016500665,0.6126130427015013,0.6142517688507889,0.6612573347119352,0.6704859503947659,0.7212002122779841,0.8555630291168114,0.864115411093135,0.046681970094680156,0.0466612207805878,0.048868836667351194,0.07374118406901015,0.10280169511615564,0.08882561804546656,0.09731482441122608,0.03993542373646142,0.04454723857370838,0.03463885622836754,0.08942178906109197
39093,0.9382076086535163,0.8668875614284692,0.9010036980630483,0.9010036980630483,0.7638613474856348,0.7001075356201809,0.7019154795387536,0.7537749235188617,0.7639565024287178,0.8199076089613848,0.990389985793704,1.0,0.046681970094680156,0.0466612207805878,0.048868836667351194,0.07374118406901015,0.10280169511615564,0.08882561804546656,0.058854966857019485,0.08826800972219825,0.07149438031278685,0.10927144412913936,0.07803185554578292
39094,0.7640872821653341,0.6829767321533218,0.6527014850736292,0.6527014850736292,0.6248362079107281,0.5699585961134263,0.5715148268957377,0.6161540782830954,0.6249181147940079,0.6730793621623862,0.8085230523999025,0.8167064355001915,0.046681970094680156,0.0466612207805878,0.048868836667351194,0.07374118406901015,0.10280169511615564,0.05622047673670314,0.07245998400139693,0.06303507648661663,0.0573168285587991,0.026279794436246454,0.07170235459053205
