"CODMUN","Nombre","Type"
39027,"Campoo de Enmedio","Municipio"
39017,"Campoo de Yuso","Municipio"
39032,"Hermandad de Campoo de Suso","Municipio"
39059,"Reinosa","Municipio"
39065,"Las Rozas de Valdearroyo","Municipio"
39070,"San Miguel de Aguayo","Municipio"
39077,"Santiurde de Reinosa","Municipio"
39092,"Valdeolea","Municipio"
39093,"Valdeprado del Río","Municipio"
39075,"Santander","Atractor"
