CODMUN,LONGITUD_E,LATITUD_ET,CODAUTO,CPRO,CMUN,NOMBRE,COMARCA,NOMBRE_COMARCA,MINMDT,MAXMDT,MEANMDT,STDMDT,MINPENDI,MAXPENDI,MEANPENDI,STDPENDI,MINDISN10M,MAXDISN10M,MEANDISN10M,STDDISN10M,MINCARRETN,MAXCARRETN,MEANCARRETN,STDCARRETN,MINDISAUT,MAXDISAUT,MEANDISAUT,STDDISAUT,MINDISFERR,MAXDISFERR,MEANDISFERR,STDDISFERR,DISTHOSPIT,DISTFARMA,DISTCEDUC,DISTCURGH,DISTATPRIM
39020,-3.2297437598,43.36654405066667,06,39,020,Torrelavega,9,Marina Oriental,-2,726,233.073115,159.399608,0.0,50.417927,14.633712,8.016501,40.585146,11187.632387,5667.548994,2255.484547,21.700385,7920.958917,2709.438015,1734.133501,14.38132,7316.439713,2458.315538,1456.454392,3071.906039,14713.286006,9332.560887,2795.692214,14372.182702,3280.107924,3605.670252,5096.402213,3840.096596
39025,-4.078181267666667,43.27209689666666,06,39,025,Santander,5,Iguna-Besaya,55,782,299.315044,154.463862,0.0,48.114895,13.711925,7.836697,5136.952593,13472.741867,9931.249567,1735.752628,12.639192,6048.732546,2364.815039,1468.508509,7.905374,6010.376102,2580.09484,1424.04829,36.624313,6648.544637,3123.726922,1520.219097,11549.883109,3213.287641,2491.531787,3447.742658,2802.149137
39075,-3.8340167704000003,43.468023082,06,39,075,Castro-Urdiales,7,Metropolitana de Santander,-4,99,25.932561,18.973922,0.0,24.725409,3.461595,2.880546,35.816118,4147.156885,1671.173999,785.434955,5.055278,7981.258416,2736.969834,1790.893502,16.21989,6295.959479,1742.868156,1305.668956,9.863413,4814.231486,1672.947567,973.236032,1894.517652,1031.037837,673.276467,1849.59763,984.715084
39087,-4.0490851888999995,43.345331814000005,06,39,087,Los Corrales de Buelna,6,Periurbana de Torrelavega,-14,572,116.496444,109.817822,0.0,37.894386,7.259732,6.582291,9.780384,5099.079479,2259.697584,1136.148169,9.821642,3550.965912,1258.818809,721.262893,18.981647,4200.358241,1475.538617,867.012454,29.651276,3450.457987,1256.832392,688.095202,4504.29229,1483.980021,1153.411416,2796.442601,1631.2749
